danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_uri,artist,track_uri,track_name,artist_genres
0.763,0.619,11,-9.558,0,0.316,0.281,0.000273,0.145,0.59,180.118,spotify:artist:6xini6REf0CP8muuVvDa91,Daddyphatsnaps,spotify:track:0HjCap9uzi5vVwbCwHcGN9,Gojo Rap,['otacore']
0.688,0.242,8,-12.13,1,0.0605,0.875,0.194,0.11,0.599,74.024,spotify:artist:4pwqNyMSvuv7VOhQBdjB6Q,eevee,spotify:track:6u3dgrrEwVsjitKieeJhEX,moonlight,"['chillhop', 'focus beats', 'japanese chillhop', 'lo-fi beats']"
0.814,0.499,1,-12.823,1,0.351,0.0451,0.0,0.316,0.441,96.927,spotify:artist:6O1vRHWVGKJTnWuJmItnsx,Rio Da Yung Og,spotify:track:0Ihc85S0cIM1DgMr2wEDF2,Third Times A Charm,"['cali rap', 'detroit hip hop', 'flint hip hop']"
0.438,0.291,8,-26.506,1,0.0956,0.598,0.615,0.18,0.394,85.635,spotify:artist:0vg08N1z9G9LrGLkG1nNDS,Mujo,spotify:track:6ild3E7qWNO8W6CJGDTrLc,Purple Woods,"['chillhop', 'japanese chillhop', 'lo-fi beats']"
0.517,0.594,8,-7.318,1,0.0407,0.967,0.00675,0.0657,0.585,91.807,spotify:artist:1QL7yTHrdahRMpvNtn6rI2,Georg Friedrich Händel,spotify:track:6iNbpVsd7JtptsrsuJllJf,"Rinaldo, HWV 7a: Sibilar Gli Angui d’Aletto","['baroque', 'classical', 'early music', 'english baroque', 'german baroque']"
0.536,0.506,5,-4.686,1,0.0296,0.828,0.0,0.114,0.71,74.76,spotify:artist:1tX4Yf64m81Ju9THQiXAzn,Traviezoz de la Zierra,spotify:track:0RHOMKp1PcneoMh8OSNXA6,Un Día A La Vez,"['corrido', 'nuevo regional mexicano', 'regional mexican', 'sierreno']"
0.169,0.385,3,-7.191,1,0.0381,0.896,0.728,0.17,0.179,88.793,spotify:artist:5sy77gt4bfsLcSQ8GIe4ZZ,Alan Menken,spotify:track:2HEKFEJHqOQQ6gldn2jTfm,At Last I See the Light (Cello Version),"['broadway', 'disney', 'hollywood', 'movie tunes', 'show tunes']"
0.0781,0.881,2,-41.823,1,0.0552,0.155,0.963,0.797,1e-05,171.484,spotify:artist:6kqOxJqJ4r4cIlbYR4GbP4,"oh, the joy.",spotify:track:4BajYuGchvEAuDt00oHW4O,cleansing rain,[]
0.5,0.37,9,-11.581,1,0.0376,0.949,0.0761,0.104,0.37,78.785,spotify:artist:6xrCU6zdcSTsG2hLrojpmI,José González,spotify:track:7daItyBA4UqHyFItCVgzBn,El Invento,"['gothenburg indie', 'indie folk', 'neo mellow', 'stomp and holler', 'swedish indie folk', 'swedish indie pop', 'swedish singer-songwriter']"
0.641,0.542,9,-10.872,0,0.0412,0.538,0.184,0.0901,0.617,139.955,spotify:artist:6lHL3ubAMgSasKjNqKb8HF,Mýa,spotify:track:02x49Muk8k7E3fnGo9qOH5,True Love,"['dance pop', 'hip pop', 'neo soul', 'pop r&b', 'pop rap', 'r&b', 'urban contemporary']"
0.744,0.714,9,-6.09,1,0.0333,0.132,0.0,0.262,0.614,119.964,spotify:artist:5yw4tA8D5uG7tT3NaDvq10,Stellar,spotify:track:57JjdN82YBM7mPQureo1TZ,El Dorado,['social media pop']
0.513,0.97,10,-6.051,0,0.133,5.75e-05,0.000538,0.515,0.214,122.057,spotify:artist:5wFXmYsg3KFJ8BDsQudJ4f,Manchester Orchestra,spotify:track:7oeyJeknYRMuD9ufVzyglS,Bed Head,['indie rock']
0.679,0.574,4,-8.334,0,0.0442,0.453,1.02e-06,0.109,0.299,85.011,spotify:artist:4HgF4KnohByNElYid7iCNb,Bobby V,spotify:track:0UzX7yqSxAa3uQ6LjnjXU9,Reply,"['dance pop', 'hip pop', 'new jack swing', 'pop r&b', 'pop rap', 'r&b', 'urban contemporary']"
0.627,0.409,10,-12.656,0,0.0894,0.119,0.00386,0.193,0.0455,129.418,spotify:artist:4U44HqrUwzfE2GEx9NXllw,Louie Ray,spotify:track:48djMNAspLoMYQJ0jpxVKC,I Can't Drop Music,['flint hip hop']
0.771,0.579,7,-9.575,1,0.321,0.49,0.0,0.307,0.562,95.079,spotify:artist:4U44HqrUwzfE2GEx9NXllw,Louie Ray,spotify:track:36WuqarSUeWv7AFzw7dGcy,Space,['flint hip hop']
0.452,0.464,4,-12.169,0,0.0338,0.914,0.835,0.134,0.479,163.58,spotify:artist:4W3fa7tiXGVXl3KilbACqt,Gustavo Santaolalla,spotify:track:3iM9c7WfCQ981de5FkTG2V,"Del Pago (From ""Ronroco"")","['argentine ambient', 'latin classical', 'latin soundtrack', 'soundtrack', 'video game music']"
0.683,0.57,5,-9.122,1,0.0631,0.384,0.0,0.175,0.761,106.902,spotify:artist:1gW6pz5n1aK249L0GvfQCC,Grupo Marca Registrada,spotify:track:44MzqKnanwCLP1WTuu9KDs,El Niño,"['corrido', 'norteno', 'nuevo regional mexicano', 'regional mexican']"
0.818,0.477,1,-9.006,1,0.123,0.0277,0.0,0.151,0.207,69.061,spotify:artist:0399oiMcmbOzzsYQDNYqxn,Problem,spotify:track:4TRHi8DzgfrpEbZL6VFPXt,4 THE LOW,"['cali rap', 'gangster rap', 'hyphy', 'pop rap', 'rap', 'southern hip hop', 'trap', 'west coast trap']"
0.698,0.794,0,-5.542,1,0.0334,0.0224,0.0,0.167,0.299,125.982,spotify:artist:4NYMUsIcUUsBHbV9DICa5x,Nate Smith,spotify:track:4320xN7twzyH6QAGM3bvYZ,Sleeve,['country pop']
0.396,0.667,1,-7.71,0,0.188,0.0922,0.0,0.114,0.302,75.996,spotify:artist:7FGjkq9WfrRmBFL64ST0p9,KillBunk,spotify:track:2ZakFcIxVwyADJ920XvmsE,not okay,[]
0.451,0.221,2,-13.463,0,0.0293,0.861,0.000107,0.0854,0.273,150.222,spotify:artist:521qvhdobR0GzhvU6TFw76,Tritonal,spotify:track:4qTTLb2Ne2eYoJiDdfhqcQ,Happy Where We Are (Acoustic),"['edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'progressive trance', 'trance', 'tropical house', 'uplifting trance']"
0.715,0.45,7,-9.858,1,0.0276,0.523,0.00161,0.078,0.945,114.516,spotify:artist:3BJX1nYizKvWpZTY5HOAr4,Charley Crockett,spotify:track:0QRj8YpxtxFayoVjZRoZWT,Lesson in Depression,"['alternative country', 'deep new americana', 'new americana', 'roots americana']"
0.717,0.581,11,-7.8,0,0.178,0.0194,0.0,0.196,0.493,143.109,spotify:artist:0oB2sOpQMaCCrMlPXBQCXu,NerdOut,spotify:track:3az3o6bvcShNUIAwk8wwdS,Cold-Blooded,"['antiviral pop', 'otacore', 'social media pop']"
0.599,0.408,2,-8.376,1,0.0398,0.269,0.0,0.0747,0.664,77.989,spotify:artist:50tDsT4wwq8FCMJNkn1D67,AViVA,spotify:track:6UIZfmND9n1gVzqXVH2agJ,D.G.A.F (Acoustic),['vapor pop']
0.699,0.901,4,-5.474,0,0.0595,0.0641,0.0,0.429,0.761,142.074,spotify:artist:0OhiQFSqbnnmB52NWEpsO5,Mi Banda El Mexicano,spotify:track:0DIxNexMV9gL4dBBhGOAEg,Mary la Orgullosa (En Vivo),"['corrido', 'ranchera', 'regional mexican', 'tecnobanda']"
0.592,0.851,2,-5.075,1,0.0385,0.0104,0.0,0.0472,0.84,156.043,spotify:artist:7sKxqpSqbIzphAKAhrqvlf,Walker Hayes,spotify:track:5rfLTtChyG9COKHD9z3lJQ,I Hope You Miss Me,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']"
0.528,0.0636,7,-18.967,0,0.0497,0.989,1.91e-06,0.094,0.0936,144.371,spotify:artist:6zQlhM6cyJRrzuqAbB8PlB,Egg,spotify:track:6R847D8YqdVR7c3kzOj4iA,putting a spin on drivers license,['indie pop']
0.799,0.793,1,-6.486,1,0.11,0.0299,0.0,0.172,0.839,113.811,spotify:artist:6XwcepfAsPhrvwziGxhwju,Pretty Ricky,spotify:track:0LZ2TWN9mQYbPsCwY7JWaP,Pause,"['dance pop', 'hip hop', 'hip pop', 'miami hip hop', 'pop r&b', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']"
0.553,0.443,9,-11.367,1,0.0636,0.621,0.855,0.16,0.117,79.991,spotify:artist:5I6WLC9Auo6aeTRHPQbdOv,Fallen Roses,spotify:track:1CmvBRN7D2QGb4NTvvVwpD,Evolved,['lo-fi cover']
0.342,0.879,10,-4.471,1,0.0705,1.03e-05,0.00166,0.339,0.716,106.17,spotify:artist:7KeN0XX71T4fGysIYLB5J5,Destroy Boys,spotify:track:5Xkb7aUxlFlV2NjKAWk7LC,Muzzle,['oakland indie']
0.652,0.445,10,-10.725,1,0.045,0.014,1.38e-06,0.111,0.162,124.0,spotify:artist:48bqPGhLPTuS8gKg3UTtf9,Fabvl,spotify:track:0iESLQXluNATc32aZ61PUy,"No Name (Inspired by ""Hunter x Hunter"")",['otacore']
0.666,0.898,7,-5.257,0,0.0417,0.000496,6.62e-05,0.0638,0.252,124.972,spotify:artist:3PlRvQnVE3XAbtHUNc4nic,GATTÜSO,spotify:track:71zdPpuyAVQm7OcXZ4o6Nv,Somebody,"['edm', 'electro house', 'pop dance', 'pop edm', 'tropical house']"
0.446,0.973,1,-4.384,1,0.102,8.65e-06,0.0279,0.163,0.184,89.997,spotify:artist:591yCCsZCLXvaJ0Rg38vLZ,Senses Fail,spotify:track:3M3e3C2iMMFV6hn9r1VYuL,Lush Rimbaugh,"['emo', 'pop punk', 'post-hardcore', 'screamo']"
0.871,0.476,4,-7.811,1,0.471,0.0656,0.0,0.105,0.789,159.956,spotify:artist:1ewyVtTZBqFYWIcepopRhp,Joey Purp,spotify:track:7fb5MpD1FZUK1fgdT1r6qQ,FOR YOU,"['chicago rap', 'underground hip hop']"
0.761,0.128,4,-9.276,1,0.123,0.834,0.212,0.117,0.488,80.185,spotify:artist:0CF9CnQbK6uS8u78KVnIPv,Sweet Medicine,spotify:track:4MeuXknboReOoyVAxYsXBF,Shimmy Moon,[]
0.292,0.0566,1,-26.252,0,0.0414,0.989,0.936,0.0785,0.102,123.871,spotify:artist:27DGFhdWUeudNFbPJROkWF,Comet Blue,spotify:track:0r23doyfoYsuGCs5M4Jr9c,Say Your Name,"['background piano', 'deep tropical house']"
0.507,0.787,7,-3.204,0,0.0767,0.496,0.0,0.33,0.778,90.701,spotify:artist:4N5fp4zhTsVITZTVfsXpc2,Víctor Manuelle,spotify:track:455JfVvyPOZpoeX99X6ZGH,Víctimas las Dos,"['latin', 'modern salsa', 'salsa', 'salsa peruana', 'salsa puertorriquena', 'tropical']"
0.885,0.657,2,-5.534,1,0.279,0.00835,1.04e-06,0.13,0.304,102.048,spotify:artist:6vCAhgYcKSL1curqoT6eNu,1takejay,spotify:track:1yF1n60yMhNefeAw0mh42I,Proud Of U (Remix) [feat. Blueface],['cali rap']
0.76,0.146,1,-11.628,1,0.248,0.929,0.922,0.116,0.804,83.96,spotify:artist:6x5HLaMcoxaULXpgN0NJbb,Flughand,spotify:track:48yB80JfLDPag7WHp7bBai,John Stockton,"['chillhop', 'focus beats', 'jazz boom bap', 'lo-fi beats']"
0.644,0.602,1,-6.781,0,0.043,0.631,3.38e-06,0.328,0.21,131.924,spotify:artist:2bimgkRmsxRhhuWsOnd5rz,Tercer Cielo,spotify:track:1xsA8GYQQR1ApFK4enl6sU,Aunque Lejos Estes,"['latin christian', 'latin worship', 'mariachi cristiano']"
0.671,0.499,1,-8.068,0,0.033,0.426,0.0,0.0841,0.647,145.015,spotify:artist:5hkcGbdTv8nC62vVT7RJmZ,LDNE,spotify:track:6Mps0rYaVE3zbpG6BpwwPP,Su Magia,"['corrido', 'corridos tumbados', 'nuevo regional mexicano', 'sierreno']"
0.491,0.47,0,-8.471,0,0.0319,0.836,2.86e-05,0.102,0.175,130.14,spotify:artist:65jIUih0ZeTUJhSTRuYxpi,Omy De Oro,spotify:track:1bsrJLrxwyBeZXlWqpMOSr,Yo No,"['reggaeton', 'reggaeton flow', 'trap latino']"
0.627,0.282,2,-8.783,0,0.0495,0.906,0.000196,0.109,0.244,105.128,spotify:artist:6mPZJXtFVaakznkRxdgWtC,Throttle,spotify:track:4BwN6GNtTrN6ehU07fRt0O,Cities (Acoustic),[]
0.689,0.726,0,-4.971,1,0.0325,0.355,0.0,0.103,0.883,122.034,spotify:artist:7xZTozOYTK6YKaxcQxeBdP,Drew Green,spotify:track:6DS2ZGuVYVfeim4aN5S5A2,She Got That (Acoustic),['country pop']
0.183,0.0187,2,-31.608,1,0.0466,0.959,0.0541,0.0748,0.0678,103.763,spotify:artist:2gClsBep1tt1rv1CN210SO,Gabriel Fauré,spotify:track:4Ykw61U7cOQOUTd7e9ci1v,"Berceuse, Op. 16","['classical', 'post-romantic era']"
0.139,0.0186,5,-25.151,0,0.0414,0.993,0.981,0.117,0.0717,74.97,spotify:artist:2gClsBep1tt1rv1CN210SO,Gabriel Fauré,spotify:track:7MXtvUIyCLqo0F4fOzbKyN,Fauré: Après un rêve (Arr. for Bassoon and Piano),"['classical', 'post-romantic era']"
0.638,0.335,7,-10.771,1,0.053,0.906,0.764,0.139,0.194,90.886,spotify:artist:5xJ9q1lHwa8AShRof94oIt,Phlocalyst,spotify:track:5l8V1R6FFpt06sfn4OZiIZ,Midnight Cruise,"['chillhop', 'focus beats', 'lo-fi beats']"
0.367,0.483,10,-6.633,1,0.0298,0.263,0.0,0.139,0.176,156.389,spotify:artist:4SsMf4SjhOlSqEitcprgBt,Big Daddy Weave,spotify:track:7G0S21TgI1FjsgKqJk9TZB,All Things New,"['ccm', 'christian alternative rock', 'christian music', 'worship']"
0.668,0.668,5,-5.979,0,0.199,0.0887,0.0,0.157,0.374,174.133,spotify:artist:1QdCkPulANBEZiaiAyLkak,OMB Peezy,spotify:track:0HpJJPQV5LNSpLhDbhwgmx,Love Is Blind,"['alabama rap', 'baton rouge rap', 'cali rap', 'deep southern trap', 'sacramento hip hop', 'trap']"
0.421,0.801,0,-3.852,1,0.0407,0.192,0.0,0.089,0.201,83.194,spotify:artist:0gSAxSvAApQc71cTpoXDFu,Tenille Arts,spotify:track:6bdZQKMgyC1InFgT9UeRnv,Give It to Me Straight,"['canadian contemporary country', 'contemporary country', 'country pop']"
0.604,0.539,1,-10.777,1,0.58,0.487,5.2e-06,0.437,0.807,113.882,spotify:artist:5qrzeukNCU5ixZH3LhQi2j,Jay Gwuapo,spotify:track:4zmmPMPf5NaaYPGcPkvwn8,Leave You Alone,"['brooklyn drill', 'nyc rap']"
0.545,0.552,2,-5.894,1,0.0286,0.273,0.0,0.0935,0.289,85.896,spotify:artist:2MSlGNpwXDScUdspOK6TS7,Home Free,spotify:track:7KnalbbrylMw7Isa8BZFKv,I Swear,['a cappella']
0.45,0.326,11,-11.965,1,0.0332,0.564,1.85e-05,0.0993,0.0532,136.579,spotify:artist:0Qnx1MPnHYt3jJCYrRFVwX,Greyson Chance,spotify:track:4O04HCsu4ICrSBjDSdvF3s,Holy Feeling (Unplugged),"['dance pop', 'electropop', 'indie cafe pop', 'pop', 'post-teen pop', 'viral pop']"
