artist_uri,artist,track_uri,track_name,track_url,popularity
spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7,JID,spotify:track:1xVmBDw8rTcixOg4P0hvRz,Bruuuh (with Denzel Curry) (Remix),https://open.spotify.com/track/1xVmBDw8rTcixOg4P0hvRz,75
spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7,JID,spotify:track:5JISV2O82kiiwdEzx7ZL9b,Cludder,https://open.spotify.com/track/5JISV2O82kiiwdEzx7ZL9b,75
spotify:artist:6deZN1bslXzeGvOLaLMOIF,Nickelback,spotify:track:7k2t5SM7IsgEtKtRK8V2sm,Rockstar Sea Shanty,https://open.spotify.com/track/7k2t5SM7IsgEtKtRK8V2sm,79
spotify:artist:5aIqB5nVVvmFsvSdExz408,Johann Sebastian Bach,spotify:track:2J37sChzJsqAV9gJPNUcVC,"Bach: Partita No. 1 en Si Bémol Majeur, BWV 825",https://open.spotify.com/track/2J37sChzJsqAV9gJPNUcVC,81
spotify:artist:5aIqB5nVVvmFsvSdExz408,Johann Sebastian Bach,spotify:track:57HDeoyvbz4qKhfjrSNpmw,"Shepherd's Song (After ""Schafe können sicher weiden"", BWV 208, No. 9)",https://open.spotify.com/track/57HDeoyvbz4qKhfjrSNpmw,81
spotify:artist:47mIJdHORyRerp4os813jD,League of Legends,spotify:track:6FvcMrLyHOwbH5VyqVH38A,Lunar Beasts - 2021,https://open.spotify.com/track/6FvcMrLyHOwbH5VyqVH38A,82
spotify:artist:32vWCbZh0xZ4o9gkz4PsEU,Dolly Parton,spotify:track:2dG3A74MjILzQDqJZlWI8x,5 to 9,https://open.spotify.com/track/2dG3A74MjILzQDqJZlWI8x,77
spotify:artist:1Vvvx45Apu6dQqwuZQxtgW,KIDZ BOP Kids,spotify:track:2Fe3sKtk2YcqJ9KOyfq9f2,Sweet Melody,https://open.spotify.com/track/2Fe3sKtk2YcqJ9KOyfq9f2,73
spotify:artist:6cEuCEZu7PAE9ZSzLLc2oQ,R3HAB,spotify:track:3q5uRPFpw65179UoA78Niz,Ones You Miss (Acoustic),https://open.spotify.com/track/3q5uRPFpw65179UoA78Niz,83
spotify:artist:60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,spotify:track:4ga4WvRNhMsIL38pkBbnIN,Pressure (feat. Tove Lo),https://open.spotify.com/track/4ga4WvRNhMsIL38pkBbnIN,83
spotify:artist:0Y4inQK6OespitzD6ijMwb,Freddie Gibbs,spotify:track:6KOkjYEbPB8n0ZqSJw2pYC,Gang Signs (feat. ScHoolboy Q),https://open.spotify.com/track/6KOkjYEbPB8n0ZqSJw2pYC,74
spotify:artist:3Mcii5XWf6E0lrY3Uky4cA,Ice Cube,spotify:track:23D3Z8X2UyLTHRYUZNrvnQ,Trying To Maintain,https://open.spotify.com/track/23D3Z8X2UyLTHRYUZNrvnQ,76
spotify:artist:3E6xrwgnVfYCrCs0ePERDz,Wisin,spotify:track:4ie9colBgieHEOULuCfK3E,En Mi Habitación,https://open.spotify.com/track/4ie9colBgieHEOULuCfK3E,84
spotify:artist:7DMveApC7UnC2NPfPvlHSU,Cheat Codes,spotify:track:7DgkSYT6vh3UAYQlFbsj6z,Hate You + Love You (feat. AJ Mitchell),https://open.spotify.com/track/7DgkSYT6vh3UAYQlFbsj6z,79
