artist_uri,artist,track_uri,track_name
spotify:artist:6eU0jV2eEZ8XTM7EmlguK6,Black Pumas,spotify:track:4rhqHKUFyeXBfdGUcbYVCQ,"Strangers (From ""Life In A Day"")"
spotify:artist:7kwEvDE8e7EBGKh5bLczqQ,Anthem Lights,spotify:track:44NmTMZ9k4cWQCHfMvR5Dc,Blinding Lights / Take on Me
spotify:artist:4aKdmOXdUKX07HVd3sGgzw,Rezz,spotify:track:5YvYKEQEYJp4orh4z3Dnpk,Sacrificial (feat. PVRIS)
spotify:artist:2kQnsbKnIiMahOetwlfcaS,Raveena,spotify:track:2NDMLu8ZNrAsAsPAoW5VOx,Tweety
spotify:artist:0Q8NcsJwoCbZOHHW63su5S,Mora,spotify:track:68Oy57uVLa2uZdWcYNi6M4,Cuándo Será
spotify:artist:3oGVQWQy7lgTMuTnKUZZNZ,Yuki Hayashi,spotify:track:53Subh23bqC6YsFkZ6yaTR,"You Say Run (From ""My Hero Academia"") [Epic Orchestral Ver.]"
spotify:artist:1MQ48GaF9nanTisRGu3Mtl,Shayne Orok,spotify:track:42LmzZvahPDusSguHQjwGK,"Mahou (From ""The Promised Neverland Season 2"")"
spotify:artist:0vg08N1z9G9LrGLkG1nNDS,Mujo,spotify:track:7zcpE1ue1sPRYD7RdqB4Qi,River of Dreams
spotify:artist:6xini6REf0CP8muuVvDa91,Daddyphatsnaps,spotify:track:7z3b2kTO2qeDvl6sjxcZGW,Gohan Rap
spotify:artist:7s3OoIocX1gTOnEvCg2VV8,McCafferty,spotify:track:1p0uYawYeN6HnsdfDomO9g,Beachboy 2
spotify:artist:2lRH2dgU5Kk4Bc5phmII4T,LANCO,spotify:track:0Rmi2Bxr4oDWhbcXeY806r,Near Mrs.
spotify:artist:69lxxQvsfAIoQbB20bEPFC,Philip Glass,spotify:track:02KlZ7THRChORngqPc2Mpz,Philip Glass: String Quartet No.7 (2014)
spotify:artist:4S2yOnmsWW97dT87yVoaSZ,NOFX,spotify:track:1vdGJSqFTWoUjQ7dwuT5lD,Fuck Euphemism
spotify:artist:6AMa1VFQ7qCi61tCRtVWXe,Jim Jones,spotify:track:4bL4rG4esEhiUDdAEb7U6A,Lose Lose
spotify:artist:2p0UyoPfYfI76PCStuXfOP,Franz Schubert,spotify:track:6HoLU3A1i8TKnCcOMxXaQ6,"Die Winterreise, Op. 89, D. 911: No. 12, Einsamkeit (Arr. Baritone & String Quartet)"
spotify:artist:2p0UyoPfYfI76PCStuXfOP,Franz Peter Schubert,spotify:track:0BPL1zE2fhxcihJ3UMsKty,Impromptu op 90 no 2 E Flat Major
spotify:artist:4mwXUEKaW4ftbncf9Hi58l,Tank,spotify:track:1QYobj91l3Zfu2G8x99nPI,Dreamin'
spotify:artist:3XlIhgydjvC4EniPFZT20j,Trisha Yearwood,spotify:track:0SA1RVvy3x161K2PcW2CSO,Shallow (The Duet with Garth Brooks and Trisha Yearwood)
spotify:artist:12zbUHbPHL5DGuJtiUfsip,Julien Baker,spotify:track:22u3zisnI1LmCT1jHNdULx,Favor
spotify:artist:6jDwZUFYUH1dC4xWzOd8QU,Caleb Hyles,spotify:track:7LbAqsgXLBdzXmMEXgCfxc,The Wellerman
spotify:artist:6jDwZUFYUH1dC4xWzOd8QU,Caleb Hyles,spotify:track:0Gh6D1E5v9TB9g3WmSbN7F,Ultraluminary
spotify:artist:3EhbVgyfGd7HkpsagwL9GS,Alice Cooper,spotify:track:1uL0GIDj0fYPwPrfHarJED,Social Debris
spotify:artist:7185Q95lPFld0aoPqO6e0U,Blue Wednesday,spotify:track:6H74zmY905gEiWHNJ7Y60A,Technical Difficulties
spotify:artist:6kqOxJqJ4r4cIlbYR4GbP4,"oh, the joy.",spotify:track:1UV03eAWaonA0Ss28dtTdP,ember glow
spotify:artist:5wTAi7QkpP6kp8a54lmTOq,Johannes Brahms,spotify:track:7K2zTz0g5mOeGqLGtke00F,Brahms: Rhapsody No. 2
spotify:artist:23DYJsw4uSCguIqiTIDtcN,Southside,spotify:track:6sfhbEVmtktM2InDtnyDoR,I THINK SHAWTYS INLOVE
spotify:artist:7cjh6y0V9SsyCrWSXTzwOs,RBD,spotify:track:54DkjENyNvP9RFywjNYDV3,Siempre He Estado Aquí (En Vivo)
spotify:artist:1LwjR2mIm78OJRTYdkMLl3,Closed on Sunday,spotify:track:3P10Qggc6DzMiXhP0NF8XR,littleroot town ~ pokémon lofi
spotify:artist:1LwjR2mIm78OJRTYdkMLl3,Closed on Sunday,spotify:track:4kmJS9mKLlTT8PG6UkyeMz,victory celebration (star wars lofi)
spotify:artist:2NUz5P42WqkxilbI8ocN76,Vybz Kartel,spotify:track:2jC9qcJCyp1aVpHG3sn7L0,Pop Style
spotify:artist:5pmXkV6A8yQdoa64xzvZ0S,Psalm Trees,spotify:track:4vY7wDVjKA7Ib3BDxgIo64,Who Knows
spotify:artist:0Kekt6CKSo0m5mivKcoH51,Sergei Rachmaninoff,spotify:track:1Hnp1eblIw5zvF4BcmcXl0,"Zdes' khorosho ('How Fair This Spot), Op. 21, No. 7"
spotify:artist:1bMkQIx4MpNHLxoylvipdQ,The Worship Initiative,spotify:track:6bgmMkSbwWRMbAIa3MdWo8,The Love of God (Live)
spotify:artist:3zZ88AwlTwfCJkowsFCvLA,Babyface Ray,spotify:track:7wMlprRs553gkozcnhnO00,I Be Goin Hard (Remix)
spotify:artist:3zZ88AwlTwfCJkowsFCvLA,Babyface Ray,spotify:track:5y2gq3R6UcAdPcYw2nNtiq,I Be Goin Hard (Remix) (Radio Edit)
spotify:artist:0qpRQJnULShIWFKhcW5pce,Joey Trap,spotify:track:6XXM0pXTYyOnAqkpqW8Y3U,BIRDIES
spotify:artist:12nEr6QOfSKkiTXjEp8tBB,Koosen,spotify:track:4Sxi4nG2DBlcO87H1sgP2A,Watermelon Sugar
